Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,0.049685,0.049828,0.047265,0.048565,0.048565,6562833
2019-05-07,0.048519,0.050178,0.044036,0.044036,0.044036,10763796
2019-05-08,0.044194,0.048956,0.043267,0.046039,0.046039,13355312
2019-05-09,0.045994,0.046610,0.041617,0.041894,0.041894,11462676
2019-05-10,0.041848,0.048731,0.041141,0.046848,0.046848,20237225
2019-05-11,0.046741,0.049532,0.045423,0.048527,0.048527,14522394
2019-05-12,0.048550,0.049001,0.044282,0.045824,0.045824,8826227
2019-05-13,0.045824,0.048108,0.044872,0.045292,0.045292,16126142
2019-05-14,0.045333,0.048427,0.042375,0.046437,0.046437,18695589
2019-05-15,0.046497,0.063145,0.046352,0.062016,0.062016,90875575
2019-05-16,0.061936,0.069602,0.054611,0.057762,0.057762,43157375
2019-05-17,0.057741,0.059506,0.048270,0.056638,0.056638,28002292
2019-05-18,0.056638,0.056902,0.052503,0.054389,0.054389,15357741
2019-05-19,0.054424,0.057647,0.054145,0.055542,0.055542,24058363
2019-05-20,0.055539,0.056677,0.051843,0.055440,0.055440,19829935
2019-05-21,0.055431,0.060240,0.054069,0.056691,0.056691,37563418
2019-05-22,0.056691,0.057987,0.051451,0.051676,0.051676,20400031
2019-05-23,0.051609,0.055016,0.048638,0.052465,0.052465,19783527
2019-05-24,0.052481,0.055195,0.051605,0.052172,0.052172,15905683
2019-05-25,0.052172,0.053004,0.051017,0.051934,0.051934,6726217
2019-05-26,0.051934,0.059119,0.050848,0.057068,0.057068,29491057
2019-05-27,0.057080,0.057430,0.052588,0.053558,0.053558,19108642
2019-05-28,0.053416,0.055223,0.052566,0.054350,0.054350,14135044
2019-05-29,0.054395,0.058248,0.052755,0.056059,0.056059,23049108
2019-05-30,0.056059,0.064020,0.051765,0.054202,0.054202,51028424
2019-05-31,0.054202,0.061825,0.054007,0.060216,0.060216,45048131
2019-06-01,0.060218,0.071085,0.059805,0.070396,0.070396,67769322
2019-06-02,0.070396,0.079250,0.067473,0.071905,0.071905,99195284
2019-06-03,0.071919,0.080258,0.069139,0.073521,0.073521,95423033
2019-06-04,0.073174,0.074261,0.061351,0.064952,0.064952,63719934
2019-06-05,0.064952,0.066595,0.062019,0.064264,0.064264,34752349
2019-06-06,0.064155,0.065935,0.059024,0.063392,0.063392,25536551
2019-06-07,0.063265,0.065812,0.063176,0.065324,0.065324,19852807
2019-06-08,0.065285,0.070236,0.063474,0.068918,0.068918,31000271
2019-06-09,0.068963,0.070605,0.061179,0.063472,0.063472,28196498
2019-06-10,0.063377,0.067953,0.061914,0.067118,0.067118,25855968
2019-06-11,0.067211,0.067362,0.063372,0.065158,0.065158,17788529
2019-06-12,0.065340,0.066343,0.064629,0.065281,0.065281,17927366
2019-06-13,0.065304,0.067419,0.063052,0.063828,0.063828,22132013
2019-06-14,0.063884,0.065531,0.059277,0.060242,0.060242,30719387
2019-06-15,0.060415,0.063479,0.060137,0.062477,0.062477,18717511
2019-06-16,0.062477,0.063678,0.060283,0.062767,0.062767,23171654
2019-06-17,0.062767,0.064171,0.060964,0.062451,0.062451,17282921
2019-06-18,0.062375,0.062715,0.059617,0.062233,0.062233,14817375
2019-06-19,0.062413,0.066508,0.061840,0.064072,0.064072,24064182
2019-06-20,0.064097,0.064201,0.061168,0.062383,0.062383,18546543
2019-06-21,0.062347,0.062864,0.060085,0.061349,0.061349,17987642
2019-06-22,0.061529,0.068974,0.057575,0.063911,0.063911,35800629
2019-06-23,0.063867,0.065115,0.061275,0.061906,0.061906,19683564
2019-06-24,0.061906,0.067163,0.061220,0.064482,0.064482,35786945
2019-06-25,0.064830,0.065488,0.062183,0.063247,0.063247,25796206
2019-06-26,0.063247,0.063406,0.056095,0.058589,0.058589,55715289
2019-06-27,0.058589,0.060644,0.052500,0.053946,0.053946,45081286
2019-06-28,0.054094,0.055025,0.052391,0.053222,0.053222,26214815
